shapeId,shapeType,shapeLabel,pointId,longitude,latitude,source
63,POLYGON,,3,72.89171277633785,33.63473967056749,
63,POLYGON,,4,72.88639127365231,33.63195263121156,
63,POLYGON,,5,72.88879453292965,33.62837937190605,
63,POLYGON,,6,72.89197026840328,33.62594947091207,
63,POLYGON,,7,72.8944593583691,33.62280479141792,
63,POLYGON,,8,72.89978086105465,33.62416273527996,
63,POLYGON,,9,72.9025274430859,33.626664154789616,
63,POLYGON,,10,72.913170448457,33.633167505608526,
64,POLYGON,,0,73.0593187356745,33.66863232363172,
64,POLYGON,,1,73.06987591035711,33.65513037868715,
64,POLYGON,,2,73.08747120149481,33.665274895061124,
64,POLYGON,,3,73.07734318025457,33.678418122990976,
65,POLYGON,,0,73.04095096834051,33.659416939976495,
65,POLYGON,,1,73.05116482026922,33.6454133825961,
65,POLYGON,,2,73.06970424898016,33.65484460034233,
65,POLYGON,,3,73.05923290498602,33.66863232363172,
66,POLYGON,,0,73.02447147615301,33.650629259525616,
66,POLYGON,,1,73.03562946565496,33.63640989262796,
66,POLYGON,,2,73.0512506509577,33.645270477410335,
66,POLYGON,,3,73.04103679902899,33.65920261698348,
67,POLYGON,,0,73.00933905150183,33.64318088993734,
67,POLYGON,,1,73.00822325255163,33.63817893759818,
67,POLYGON,,2,73.00890989805944,33.633462544976055,
67,POLYGON,,3,73.01483221556433,33.62703068424983,
67,POLYGON,,4,73.03534575011022,33.636821214682854,
67,POLYGON,,5,73.02461691405065,33.650611825408,
68,POLYGON,,0,72.94703101401458,33.63079786173319,
68,POLYGON,,1,72.97037696128021,33.62636693873873,
68,POLYGON,,2,72.97930335288177,33.62479462095783,
68,POLYGON,,3,72.98754309897552,33.62522343774385,
68,POLYGON,,4,72.99372290854583,33.62479462095783,
68,POLYGON,,5,72.99286460166107,33.62222167542137,
68,POLYGON,,6,72.99595450644622,33.62307933247062,
68,POLYGON,,7,72.99698447470794,33.62036338919499,
68,POLYGON,,8,72.98891638999115,33.61564602110182,
68,POLYGON,,9,72.9920062947763,33.61621783704795,
68,POLYGON,,10,73.01535224204193,33.62679574769881,
68,POLYGON,,11,73.00882910971771,33.633799325236936,
68,POLYGON,,12,73.00831412558685,33.63822986590915,
68,POLYGON,,13,73.00900077109466,33.64294599743875,
68,POLYGON,,14,72.97192191367279,33.626081064912924,
68,POLYGON,,15,72.96848868613372,33.6292256248228,
68,POLYGON,,16,72.96385382895599,33.640516507395006,
69,POLYGON,,0,72.95401371031515,33.615063645643204,
69,POLYGON,,1,72.97186649351828,33.62092461883997,
69,POLYGON,,2,72.97924793272726,33.60798706153755,
69,POLYGON,,3,72.9622534564089,33.59998052865869,
70,POLYGON,,0,72.93521678953879,33.60412686171417,
70,POLYGON,,1,72.95409954100363,33.614849212236365,
70,POLYGON,,2,72.96233928709738,33.59983754810081,
70,POLYGON,,3,72.9446581652712,33.59154427015015,
71,POLYGON,,0,72.93504512816183,33.603840914111224,
71,POLYGON,,1,72.92028224974386,33.596048476939664,
71,POLYGON,,2,72.92989528685324,33.584751767568555,
71,POLYGON,,3,72.9443148425173,33.59161576733303,
72,POLYGON,,0,72.9050121409769,33.61139564070503,
72,POLYGON,,1,72.92063332627963,33.59624038867733,
72,POLYGON,,2,72.93488122056674,33.60396132161859,
72,POLYGON,,3,72.95359231065463,33.61511255983317,
72,POLYGON,,4,72.94878579209994,33.62111647520838,
72,POLYGON,,5,72.94191933702182,33.62025879862153,
72,POLYGON,,6,72.9353962046976,33.62826344810148,
72,POLYGON,,7,72.92372323106478,33.61997290452885,
73,POLYGON,,0,73.11170089066977,33.689445474200234,
73,POLYGON,,1,73.11513411820883,33.685731763712276,
73,POLYGON,,2,73.11719405473227,33.68087513097083,
73,POLYGON,,3,73.12088477433676,33.67666106555693,
73,POLYGON,,4,73.12277304948324,33.6765182122626,
73,POLYGON,,5,73.12345969499106,33.679160959790345,
73,POLYGON,,6,73.12363135636801,33.680660861442306,
73,POLYGON,,7,73.12509047807211,33.68201789277063,
73,POLYGON,,8,73.12500464738363,33.687588639013505,
73,POLYGON,,9,73.12423217118734,33.69187358276094,
73,POLYGON,,10,73.12234389604086,33.694015974520134,
73,POLYGON,,11,73.12045562089438,33.692801959080946,
73,POLYGON,,12,73.11882483781332,33.69144509799981,
73,POLYGON,,13,73.11676490128988,33.69130226927136,
74,POLYGON,,0,73.09135901750082,33.670375296102236,
74,POLYGON,,1,73.10140120805258,33.664303378046796,
74,POLYGON,,2,73.10380446732992,33.661945929654884,
74,POLYGON,,3,73.10371863664145,33.659802738696776,
74,POLYGON,,4,73.1053494197225,33.65944553501348,
74,POLYGON,,5,73.10732352555746,33.660517141614605,
74,POLYGON,,6,73.10783850968832,33.6653749241423,
74,POLYGON,,7,73.11247336686606,33.67023243236602,
74,POLYGON,,8,73.1163357478475,33.677089624016006,
74,POLYGON,,9,73.12079894364828,33.676803918613956,
74,POLYGON,,10,73.11710822404379,33.680660861442306,
74,POLYGON,,11,73.1148766261434,33.686017439446495,
